storey,wall_name,x1,y1,x2,y2,length_m
First Floor,WAL-I-023,34.0525,-28.1984,34.1258,-28.1303,0.1
First Floor,WAL-I-023,31.2255,-25.1579,31.2596,-25.1946,0.05
First Floor,WAL-I-024,34.4611,-28.6378,32.3226,-30.6261,2.92
First Floor,WAL-I-024,34.4611,-28.6378,34.5292,-28.7111,0.1
First Floor,WAL-I-024,32.3226,-30.6261,32.3907,-30.6994,0.1
First Floor,WAL-I-024,34.5292,-28.7111,32.3907,-30.6994,2.92
First Floor,WAL-I-024,34.4611,-28.6378,32.3907,-30.6994,2.9217
First Floor,WAL-I-026,33.4859,-25.8267,33.4126,-25.8947,0.1
First Floor,WAL-I-026,33.4126,-25.8947,32.936,-25.3821,0.7
First Floor,WAL-I-026,33.4859,-25.8267,33.0092,-25.314,0.7
First Floor,WAL-I-026,32.936,-25.3821,33.0092,-25.314,0.1
First Floor,WAL-I-026,33.4126,-25.8947,33.0092,-25.314,0.7071
First Floor,WAL-I-025,32.8949,-26.9534,30.7565,-28.9417,2.92
First Floor,WAL-I-025,32.8949,-26.9534,32.963,-27.0267,0.1
